epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,509.519,0.60475,0.50186,0.92806,0.58336,0.63844,0.58408,0.46522,0.58539,0.50359,0.889,0.000990365,0.000990365,0.000990365
43,521.559,0.59913,0.476,0.91351,0.61647,0.59735,0.57874,0.46684,0.62396,0.53772,0.92179,0.000973861,0.000973861,0.000973861
44,533.708,0.60839,0.47694,0.92526,0.62755,0.59735,0.57418,0.47466,0.5924,0.49809,0.89916,0.000957358,0.000957358,0.000957358
45,545.863,0.60547,0.47156,0.92818,0.63069,0.59005,0.58545,0.47477,0.56437,0.46311,0.87711,0.000940855,0.000940855,0.000940855
46,557.989,0.58925,0.46334,0.91979,0.64211,0.62274,0.58325,0.47223,0.55788,0.47289,0.88251,0.000924352,0.000924352,0.000924352
47,569.871,0.60298,0.49296,0.92926,0.64687,0.62859,0.5948,0.47402,0.60444,0.48081,0.91678,0.000907848,0.000907848,0.000907848
48,581.935,0.5651,0.44636,0.90551,0.68222,0.5937,0.56408,0.45736,0.59881,0.47801,0.90187,0.000891345,0.000891345,0.000891345
49,593.962,0.56969,0.4383,0.91088,0.56757,0.60653,0.57364,0.46833,0.55673,0.48577,0.89708,0.000874842,0.000874842,0.000874842
50,605.938,0.58776,0.46512,0.91439,0.62882,0.5668,0.56168,0.47518,0.54489,0.45397,0.88059,0.000858338,0.000858338,0.000858338
51,617.922,0.56369,0.45031,0.90495,0.55968,0.55882,0.53798,0.46312,0.56813,0.47523,0.89324,0.000841835,0.000841835,0.000841835
52,629.93,0.55433,0.42272,0.90907,0.51873,0.61263,0.55715,0.46554,0.60006,0.45946,0.91061,0.000825332,0.000825332,0.000825332
53,641.794,0.55091,0.43529,0.90725,0.64411,0.60533,0.58413,0.47917,0.58955,0.44123,0.9134,0.000808828,0.000808828,0.000808828
54,654.166,0.55388,0.43335,0.90177,0.63621,0.5937,0.56129,0.4724,0.57036,0.4686,0.90318,0.000792325,0.000792325,0.000792325
55,666.184,0.5311,0.41484,0.90252,0.5842,0.60168,0.56618,0.47075,0.57112,0.47059,0.906,0.000775822,0.000775822,0.000775822
56,678.473,0.53075,0.43403,0.90467,0.69327,0.60168,0.57394,0.4721,0.56237,0.46124,0.89469,0.000759318,0.000759318,0.000759318
57,690.532,0.53681,0.42652,0.90275,0.71364,0.58207,0.58614,0.47562,0.57678,0.48882,0.894,0.000742815,0.000742815,0.000742815
58,702.587,0.54811,0.42825,0.91324,0.60305,0.64751,0.5877,0.48371,0.57477,0.45044,0.90758,0.000726312,0.000726312,0.000726312
59,714.693,0.51055,0.4066,0.88879,0.65594,0.5734,0.57383,0.47092,0.5707,0.46861,0.90733,0.000709809,0.000709809,0.000709809
60,726.882,0.52169,0.41324,0.89596,0.64902,0.601,0.58263,0.4784,0.55302,0.44679,0.90831,0.000693305,0.000693305,0.000693305
61,739.066,0.50972,0.40549,0.88939,0.75479,0.60172,0.60772,0.48618,0.53988,0.42157,0.89727,0.000676802,0.000676802,0.000676802
62,751.012,0.50943,0.40068,0.8882,0.7197,0.58207,0.58954,0.48607,0.51789,0.44571,0.89866,0.000660299,0.000660299,0.000660299
63,762.962,0.50106,0.39613,0.88513,0.64682,0.61696,0.58073,0.48378,0.53892,0.43754,0.90746,0.000643795,0.000643795,0.000643795
64,775.159,0.49704,0.39452,0.88261,0.7277,0.5937,0.58479,0.48278,0.51255,0.40768,0.89672,0.000627292,0.000627292,0.000627292
